Rossz,Szomszedos,Marc. 3--5.,Marc. 10--12.,Marc. 17--19.,Marc. 24--26.,Marc. 31. -- apr. 2.,Tavaszi szunet,apr. 21--23.,apr. 28. -- maj. 1.,Maj. 5--7.,Maj. 12--14.,Maj. 19--21.,Maj. 26--28.,Jun. 3--5.,Jun. 10--12.,Jun. 16--18.,Jun. 23--25.
5,1,,Bebe,,Beluga,,,,Okapi,,Ka,Monguz,,Medve,,Lemur,
5,1,,Bebe,,Beluga,,,,Okapi,,Ka,Medve,,Monguz,,Lemur,
5,1,,Okapi,,Beluga,,,,Monguz,,Ka,Medve,,Bebe,,,Lemur
5,1,,Bebe,,Beluga,,,,Monguz,,Ka,Okapi,,Medve,,,Lemur
5,1,,Bebe,,Beluga,,,,Okapi,,Ka,Monguz,,Medve,,,Lemur
5,1,,Bebe,,Beluga,,,,Okapi,,Ka,Medve,,Monguz,,,Lemur
5,2,,Okapi,,Beluga,Ka,,Monguz,Lemur,,,Medve,,Bebe,,,
5,2,,Bebe,,Beluga,Ka,,Monguz,Lemur,,,Okapi,,Medve,,,
5,2,,Bebe,,Beluga,Ka,,Monguz,Lemur,,,Medve,,,,Okapi,
5,2,,,,Beluga,Ka,,Monguz,Lemur,,,Medve,,Bebe,,Okapi,
5,2,,Okapi,,Beluga,Ka,,,Lemur,,Monguz,Medve,,Bebe,,,
5,2,,Bebe,,Beluga,Ka,,,Lemur,,Monguz,Okapi,,Medve,,,
5,2,,Bebe,,Beluga,Ka,,,Lemur,,Monguz,Medve,,,,Okapi,
5,2,,,,Beluga,Ka,,,Lemur,,Monguz,Medve,,Bebe,,Okapi,
5,2,,Okapi,,Beluga,Ka,,,Lemur,,,Monguz,Medve,,Bebe,,
5,2,,Okapi,,Beluga,Ka,,,Lemur,,,Monguz,,Medve,Bebe,,
5,2,,Bebe,,Beluga,Ka,,,Lemur,Okapi,,Monguz,,Medve,,,
5,2,,,Bebe,Beluga,Ka,,,Lemur,,,Monguz,,Medve,,Okapi,
5,2,,Okapi,,Beluga,Ka,,,Lemur,,,Medve,Monguz,,Bebe,,
5,2,,Bebe,,Beluga,Ka,,,Lemur,,,,Monguz,Medve,,Okapi,
5,2,,Okapi,,Beluga,Ka,,,Lemur,,,Medve,,Monguz,Bebe,,
5,2,,Bebe,,Beluga,Ka,,,Lemur,Okapi,,Medve,,Monguz,,,
5,2,,Bebe,,Beluga,Ka,,,Lemur,,,,Medve,Monguz,,Okapi,
5,2,,,Bebe,Beluga,Ka,,,Lemur,,,Medve,,Monguz,,Okapi,
5,2,,Okapi,,Beluga,Ka,,,Lemur,,,Medve,,Bebe,Monguz,,
5,2,,Bebe,,Beluga,Ka,,,Lemur,,,Okapi,Medve,,Monguz,,
5,2,,Bebe,,Beluga,Ka,,,Lemur,,,Okapi,,Medve,Monguz,,
5,2,,Bebe,,Beluga,Ka,,,Lemur,,,Medve,Okapi,,Monguz,,
5,2,,Bebe,,Beluga,Ka,,,Lemur,,,Medve,,,Monguz,Okapi,
5,2,,Bebe,,Beluga,Ka,,,Lemur,,,Okapi,Medve,,,Monguz,
5,2,,Bebe,,Beluga,Ka,,,Lemur,,,Medve,Okapi,,,Monguz,
5,2,,Okapi,,Beluga,Ka,,,Monguz,,Lemur,Medve,,Bebe,,,
5,2,,Bebe,,Beluga,Ka,,,Monguz,,Lemur,Okapi,,Medve,,,
5,2,,Bebe,,Beluga,Ka,,,Monguz,,Lemur,Medve,,,,Okapi,
5,2,,,,Beluga,Ka,,,Monguz,,Lemur,Medve,,Bebe,,Okapi,
5,2,,Bebe,,Beluga,Ka,,,Okapi,,Lemur,Monguz,,Medve,,,
5,2,,Bebe,,Beluga,Ka,,,Okapi,,Lemur,Medve,,Monguz,,,
5,2,,Bebe,,Beluga,Ka,,,Monguz,,,Lemur,Medve,,,Okapi,
