Rossz,Szomszedos,Okt. 5--7.,Okt. 19--21.,Őszi szünet,Nov. 16--18.,Nov. 23--25.,Dec. 7--9.,Dec. 21--23.,Jan. 4--6.,Jan. 11--13.,Jan. 18--20.,Jan. 25--27.
17,8,Okapi,Mongúz,Ka,Kb,Zooey,Lemur,,Bálna,Beluga,Franny,Bárány
17,8,Okapi,,Ka,Lemur,Zooey,Mongúz,Kb,Bálna,Beluga,Franny,Bárány
17,8,Okapi,Mongúz,,Lemur,Zooey,Ka,Kb,Bálna,Beluga,Franny,Bárány
17,8,Okapi,Mongúz,,Kb,Zooey,Lemur,Ka,Bálna,Beluga,Franny,Bárány
17,8,Okapi,Mongúz,,Ka,Zooey,Lemur,Kb,Beluga,Bálna,Franny,Bárány
17,9,,Mongúz,Ka,Lemur,Zooey,Okapi,Kb,Bálna,Beluga,Bárány,Franny
17,9,,Mongúz,Ka,Bálna,Zooey,Lemur,Okapi,Franny,Beluga,Kb,Bárány
17,9,,Mongúz,Ka,Bálna,Zooey,Lemur,Kb,Okapi,Beluga,Franny,Bárány
17,9,,Mongúz,Ka,Bálna,Zooey,Okapi,Kb,Lemur,Beluga,Franny,Bárány
17,9,,Mongúz,Ka,Lemur,Zooey,Okapi,Kb,Beluga,Bálna,Franny,Bárány
18,8,Bárány,,Ka,Bálna,Zooey,Mongúz,Okapi,Franny,Beluga,Lemur,Kb
18,8,Bárány,Mongúz,,Bálna,Zooey,Ka,Okapi,Franny,Beluga,Lemur,Kb
18,8,Bárány,Mongúz,,Bálna,Zooey,Kb,Okapi,Franny,Beluga,Lemur,Ka
18,8,Bárány,,Ka,Bálna,Zooey,Kb,Okapi,Lemur,Beluga,Franny,Mongúz
18,8,Bárány,,Ka,Bálna,Zooey,Okapi,Kb,Beluga,Mongúz,Franny,Lemur
18,8,Bárány,,Ka,Bálna,Zooey,Lemur,Okapi,Beluga,Mongúz,Franny,Kb
18,8,Bárány,Mongúz,,Bálna,Zooey,Okapi,Kb,Ka,Beluga,Franny,Lemur
18,8,Bárány,Mongúz,,Bálna,Zooey,Lemur,Okapi,Ka,Beluga,Franny,Kb
